,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
1183,3,5556000,Resale,Ready To Move,Broker,No, Thanisandra Ma,1176
1184,3,9537000,Resale,Ready To Move,Broker,No, Hennur Road,1870
1185,2,3191000,Resale,Ready To Move,Broker,No, Kumaraswamy Layout,925
1186,3,9000000,Resale,Ready To Move,Broker,No, ITPL Road,1800
1187,2,3726000,Resale,Ready To Move,Broker,No, Munnekollal,1035
1188,3,7088000,Resale,Ready To Move,Broker,No, Bilekahalli,1602
1189,4,61300000,Resale,Ready To Move,Broker,No, Doddanekkundi,3100
1190,2,5140000,Resale,Ready To Move,Broker,No, Thirumalashettyhally,1005
1191,2,1856000,Resale,Ready To Move,Broker,No, Electronic City Phase II,550
1192,4+,75000000,Resale,Ready To Move,Broker,No, JP Nagar,6500
1193,3,5606000,Resale,Ready To Move,Broker,No, Akshayanagar,1699
1194,2,3272000,Resale,Ready To Move,Broker,No, HBR Layout,909
1195,2,5329000,Resale,Ready To Move,Broker,No, Kodigehalli,1165
1196,2,5750000,Resale,Ready To Move,Broker,No, Narayanapura,1150
1197,4,75000000,New Property,Ready To Move,Broker,No, Whitefield,3835
1198,4+,45000000,Resale,Ready To Move,Broker,No, Whitefield,3420
1199,2,7200000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1090
1200,2,13600000,New Property,Ready To Move,Broker,No, Sarjapur Road,1506
1201,2,11500000,New Property,Ready To Move,Broker,No, Banashankari,1166
1202,3,18600000,New Property,Ready To Move,Broker,No, Whitefield,1755
1203,2,5761000,Resale,Ready To Move,Broker,No, Thanisandra Ma,1164
1204,2,4403000,Resale,Ready To Move,Broker,No, Whitefield,1030
1205,2,9228000,Resale,Ready To Move,Broker,No, HRBR Layout,1150
1206,2,3375000,Resale,Ready To Move,Broker,No, Varthur,1125
1207,1,2250000,Resale,Ready To Move,Broker,No, Kaggadasapura,506
1208,2,3414000,Resale,Ready To Move,Broker,No, Ganga Nagar,785
1209,3,2775000,Resale,Ready To Move,Broker,No, Chandapura,1000
1210,2,3876000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1200
1211,4+,50000000,Resale,Ready To Move,Broker,No, Whitefield,3828
1212,2,9500000,New Property,Ready To Move,Broker,No, Sarjapur Road,927
1213,2,13500000,Resale,Ready To Move,Broker,No, Old Madras Road,1150
1214,2,13300000,New Property,Ready To Move,Broker,No, Old Madras Road,1150
1215,2,7500000,New Property,Ready To Move,Broker,No, Old Madras Road,1200
1216,2,8870000,Resale,Ready To Move,Broker,No, Sarjapur Road,983
1217,3,17000000,Resale,Ready To Move,Broker,No, Whitefield,1366
1218,3,25000000,New Property,Ready To Move,Broker,No, Bannerghatta Road,2000
1219,4,72500000,Resale,Ready To Move,Broker,No, Whitefield,3250
1220,3,16000000,Resale,Ready To Move,Broker,No, Whitefield,1637
1221,3,17500000,New Property,Ready To Move,Broker,No, Agrahara Badavane,1573
1222,4,28000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1908
1223,3,16000000,Resale,Ready To Move,Broker,No, Kanakapura Road,1525
1224,2,9500000,New Property,Ready To Move,Broker,No, Sarjapur Road,927
1225,2,7200000,New Property,Ready To Move,Broker,No, Devanahalli,950
1226,3,17200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1387
1227,4+,22900000,Resale,Ready To Move,Broker,No, International Airport Road,2412
1228,3,30000000,Resale,Ready To Move,Broker,No, Bellandur,2015
1229,3,3965000,New Property,Ready To Move,Broker,No, Chandapura,862
1230,3,5691000,New Property,Ready To Move,Broker,No, Mysore Road,973
1231,2,4595000,New Property,Ready To Move,Broker,No, Mysore Road,802
1232,3,11700000,New Property,Ready To Move,Broker,No, Kanakapura Road,1314
1233,3,9119000,New Property,Ready To Move,Broker,No, Whitefield,1586
1234,2,6325000,New Property,Ready To Move,Broker,No, Whitefield,1100
1235,1,5012000,New Property,Ready To Move,Broker,No, Kanakapura Road,529
1236,1,1957000,New Property,Ready To Move,Broker,No, Sarjapur,540
1237,3,8699000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1560
1238,4+,46000000,Resale,Ready To Move,Broker,No, Whitefield,3100
1239,4+,36500000,Resale,Ready To Move,Broker,No, Whitefield,2730
1240,3,8050000,New Property,Ready To Move,Broker,No, Bellandur,1300
1241,3,16000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1450
1242,3,28800000,New Property,Ready To Move,Broker,No, Whitefield,2140
1243,2,11500000,New Property,Ready To Move,Broker,No, Whitefield,1352
1244,2,8200000,Resale,Ready To Move,Broker,No, Devanahalli,1045
1245,3,8699000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1560
1246,4,25900000,New Property,Ready To Move,Broker,No, Yeshwanthpur,2560
1247,2,12600000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1250
1248,2,8000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1019
1249,3,7604000,New Property,Ready To Move,Broker,No, Electronic City,1325
1250,3,10700000,New Property,Ready To Move,Broker,No, Sarjapur Road,1658
1251,2,7583000,New Property,Ready To Move,Broker,No, Hebbal,1046
1252,2,8627000,New Property,Ready To Move,Broker,No, Whitefield,1105
1253,3,11500000,New Property,Ready To Move,Broker,No, Whitefield,1498
1254,1,5334000,New Property,Ready To Move,Broker,No, Whitefield,660
1255,2,8560000,New Property,Ready To Move,Broker,No, Whitefield,1096
1256,3,11600000,New Property,Ready To Move,Broker,No, Thanisandra,1618
1257,3,10800000,New Property,Ready To Move,Broker,No, Thanisandra,1511
1258,3,8728000,New Property,Ready To Move,Broker,No, Whitefield,1405
1259,2,11700000,New Property,Ready To Move,Broker,No, Whitefield,1266
1260,3,8598000,New Property,Ready To Move,Broker,No, KR Puram,1433
1261,3,18000000,Resale,Ready To Move,Broker,No, Kanakapura Road,1700
1262,2,13000000,New Property,Ready To Move,Broker,No, Whitefield,1619
1263,3,50000000,Resale,Ready To Move,Broker,No, Devanahalli,3600
1264,3,21500000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1695
1265,2,11100000,Resale,Ready To Move,Broker,No, Sarjapur Road,1195
1266,3,8699000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1560
1267,3,5805000,New Property,Ready To Move,Broker,No, Jigani,1350
1268,4,25900000,New Property,Ready To Move,Broker,No, Yeshwanthpur,2560
1269,2,12600000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1250
1270,1,2048000,New Property,Ready To Move,Broker,No, Sarjapur,565
1271,3,6559000,New Property,Ready To Move,Broker,No, Whitefield,1245
1272,2,8000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1019
1273,3,7810000,New Property,Ready To Move,Broker,No, Whitefield,1453
1274,1,1863000,New Property,Ready To Move,Broker,No, Whitefield,330
1275,1,3775000,New Property,Ready To Move,Broker,No, Whitefield,733
1276,3,22400000,New Property,Ready To Move,Broker,No, Banashankari,2360
1277,4,27500000,New Property,Ready To Move,Broker,No, Banashankari,2905
1278,4,35300000,New Property,Ready To Move,Broker,No, Banashankari,3720
1279,2,3375000,New Property,Ready To Move,Broker,No, Kengeri,675
1280,2,6625000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1165
1281,3,19000000,Resale,Ready To Move,Broker,No, Sarjapur,2307
1282,3,14000000,Resale,Ready To Move,Broker,No, Sarjapur Road,1240
1283,2,9685000,New Property,Ready To Move,Broker,No, Sarjapur Road,1030
1284,4+,30000000,Resale,Ready To Move,Broker,No, Devanahalli,3400
1285,2,9000000,Resale,Ready To Move,Broker,No, Hebbal,1100
1286,3,16400000,New Property,Ready To Move,Broker,No, Sarjapur Road,1485
1287,2,8000000,New Property,Ready To Move,Broker,No, Whitefield,986
1288,3,13300000,New Property,Ready To Move,Broker,No, Mysore Road,1800
1289,3,12600000,New Property,Ready To Move,Broker,No, Varthur,1540
