,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
1468,2,7137000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1170
1469,2,3600000,New Property,Ready To Move,Broker,No, Sarjapur,1025
1470,2,12300000,Resale,Ready To Move,Broker,No, Hebbal,1440
1471,2,8000000,Resale,Ready To Move,Broker,No, Mysore Road,1074
1472,3,25000000,Resale,Ready To Move,Broker,No, Kanakapura Road,1591
1473,2,9900000,New Property,Ready To Move,Broker,No, Azad Nagar,1063
1474,2,8000000,Resale,Ready To Move,Broker,No, Kanakapura Road,1180
1475,2,7394000,Resale,Ready To Move,Broker,No, Mysore Road,1144
1476,2,2397000,New Property,Ready To Move,Broker,No, Sarjapur Road,685
1477,2,5444000,New Property,Ready To Move,Broker,No, JP Nagar Phase 8,1089
1478,2,5808000,New Property,Ready To Move,Broker,No, Nallurhalli,968
1479,3,9246000,New Property,Ready To Move,Broker,No, Nallurhalli,1541
1480,3,9990000,New Property,Ready To Move,Broker,No, Electronic City,1555
1481,2,8610000,New Property,Ready To Move,Broker,No, Horamavu,1148
1482,3,7800000,New Property,Ready To Move,Broker,No, Whitefield,1460
1483,2,8627000,New Property,Ready To Move,Broker,No, Whitefield,1105
1484,3,11500000,New Property,Ready To Move,Broker,No, Whitefield,1498
1485,2,10600000,New Property,Ready To Move,Broker,No, Whitefield,1380
1486,3,7964000,New Property,Ready To Move,Broker,No, Budigere,1510
1487,1,5334000,New Property,Ready To Move,Broker,No, Whitefield,660
1488,2,8560000,New Property,Ready To Move,Broker,No, Whitefield,1096
1489,3,14900000,New Property,Ready To Move,Broker,No, Old Madras Road,2215
1490,4,17600000,New Property,Ready To Move,Broker,No, Old Madras Road,2625
1491,2,11900000,Resale,Ready To Move,Broker,No, Kannamangala,1581
1492,3,11400000,New Property,Ready To Move,Broker,No, Hosur Road,1500
1493,3,17100000,New Property,Ready To Move,Broker,No, Whitefield,1654
1494,2,13200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1435
1495,3,9331000,Resale,Ready To Move,Broker,No, Whitefield,1575
1496,3,6412000,New Property,Ready To Move,Broker,No, HSR Layout,1710
1497,2,8940000,New Property,Ready To Move,Broker,No, Bommasandra,1479
1498,3,6231000,New Property,Ready To Move,Broker,No, Begur,1325
1499,2,6510000,New Property,Ready To Move,Broker,No, Uttarahalli,1286
1500,2,6695000,New Property,Ready To Move,Broker,No, Hosur Road,966
1501,4,21000000,New Property,Ready To Move,Broker,No, Whitefield,1890
1502,2,5125000,New Property,Ready To Move,Broker,No, Uttarahalli,1002
1503,2,8551000,New Property,Ready To Move,Broker,No, Choodasandra,1332
1504,3,7276000,New Property,Ready To Move,Broker,No, Begur,1360
1505,2,6715000,New Property,Ready To Move,Broker,No, Sarjapur,1010
1506,3,10700000,New Property,Ready To Move,Broker,No, Horamavu,1400
1507,3,9561000,New Property,Ready To Move,Broker,No, Uttarahalli,1450
1508,3,12700000,New Property,Ready To Move,Broker,No, HSR Layout,1700
1509,2,8265000,New Property,Ready To Move,Broker,No, Whitefield,1153
1510,3,14000000,New Property,Ready To Move,Broker,No, Whitefield,1480
1511,2,6730000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1045
1512,3,12200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1315
1513,3,5000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1200
1514,2,5100000,Resale,Ready To Move,Broker,No, Kanakapura Road,1151
1515,2,13000000,Resale,Ready To Move,Broker,No, Whitefield,1616
1516,3,26000000,Resale,Ready To Move,Broker,No, Off Sarjapur road,2240
1517,4+,95000000,New Property,Ready To Move,Broker,No, Hebbal,5500
1518,2,7400000,New Property,Ready To Move,Broker,No, Yelahanka,1275
1519,2,13100000,New Property,Ready To Move,Broker,No, Devanahalli,1450
1520,3,11400000,New Property,Ready To Move,Broker,No, Kogilu,1765
1521,3,9788000,New Property,Ready To Move,Broker,No, Uttarahalli,1595
1522,3,14000000,New Property,Ready To Move,Broker,No, KR Puram,1365
1523,2,6879000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1166
1524,2,7274000,New Property,Ready To Move,Broker,No, Gunjur,970
1525,2,8056000,New Property,Ready To Move,Broker,No, Bellandur,1230
1526,2,8003000,New Property,Ready To Move,Broker,No, Sarjapur Road,1240
1527,2,8125000,New Property,Ready To Move,Broker,No, Sarjapur Road,1300
1528,2,8093000,New Property,Ready To Move,Broker,No, Haralur Road,1140
1529,3,16900000,New Property,Ready To Move,Broker,No, Mysore Road,1749
1530,2,8389000,New Property,Ready To Move,Broker,No, Kanakapura Road,959
1531,2,6650000,New Property,Ready To Move,Broker,No, Choodasandra,950
1532,3,8232000,New Property,Ready To Move,Broker,No, Devanahalli,1273
1533,3,15500000,Resale,Ready To Move,Broker,No, Old Madras Road,1409
1534,3,10800000,New Property,Ready To Move,Broker,No, Jyotipuram,1403
1535,2,6800000,Resale,Ready To Move,Broker,No, Mysore Road,883
1536,2,8000000,Resale,Ready To Move,Broker,No, Mysore Road,1030
1537,2,11300000,Resale,Ready To Move,Broker,No, Sarjapur Road,1220
1538,2,11100000,Resale,Ready To Move,Broker,No, Sarjapur Road,1200
1539,2,7400000,New Property,Ready To Move,Broker,No, Yelahanka,1275
1540,3,3328000,New Property,Ready To Move,Broker,No, Sarjapur Road,951
1541,2,8990000,New Property,Ready To Move,Broker,No, Whitefield,986
1542,1,2434000,New Property,Ready To Move,Broker,No, Doddaballapur Road,623
1543,2,7687000,New Property,Ready To Move,Broker,No, Sarjapur,1245
1544,3,11000000,New Property,Ready To Move,Broker,No, R.K. Hegde Nagar,1590
1545,3,9729000,New Property,Ready To Move,Broker,No, Huskur,1382
1546,3,21200000,New Property,Ready To Move,Broker,No, Whitefield,1760
1547,2,8375000,New Property,Ready To Move,Broker,No, Whitefield,1300
1548,3,22500000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1581
1549,3,7100000,New Property,Ready To Move,Broker,No, Whitefield,1330
1550,2,5815000,New Property,Ready To Move,Broker,No, Budigere,1065
1551,2,10000000,New Property,Ready To Move,Broker,No, Anekal,1539
1552,2,6206000,New Property,Ready To Move,Broker,No, Whitefield,1160
1553,2,7300000,New Property,Ready To Move,Broker,No, Whitefield,911
1554,2,12700000,Resale,Ready To Move,Broker,No, Sarjapur Road,1230
1555,2,10200000,New Property,Ready To Move,Broker,No, Sarjapur,971
1556,4,74000000,Resale,Ready To Move,Broker,No, Whitefield,4284
1557,4+,32000000,Resale,Ready To Move,Broker,No, Kanakapura Road,2680
1558,2,6049000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1200
1559,3,18000000,Resale,Ready To Move,Broker,No, Banashankari,1612
1560,2,8000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1019
1561,3,38300000,New Property,Ready To Move,Broker,No, Malleshwaram,3195
1562,3,39500000,New Property,Ready To Move,Broker,No, Malleshwaram,3295
1563,1,3903000,New Property,Ready To Move,Broker,No, Doddaballapur Road,697
1564,3,9548000,New Property,Ready To Move,Broker,No, Doddaballapur Road,1705
1565,1,3300000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,610
1566,4,31800000,New Property,Ready To Move,Broker,No, Off Sarjapur road,4408
1567,4,16100000,New Property,Ready To Move,Broker,No, Sarjapur Road,2710
1568,4,6037000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1725
1569,2,13500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1274
1570,3,5040000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1440
1571,3,8600000,New Property,Ready To Move,Broker,No, Devanahalli,1510
1572,3,10100000,New Property,Ready To Move,Broker,No, Devanahalli,1780
1573,2,9327000,New Property,Ready To Move,Broker,No, Devanahalli,1490
1574,3,9386000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1495
1575,3,13500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1460
1576,2,13000000,New Property,Ready To Move,Broker,No, Whitefield,1550
1577,3,13500000,New Property,Ready To Move,Broker,No, Marathahalli,1680
1578,4,34500000,New Property,Ready To Move,Broker,No, Kanakapura Road,2976
1579,2,7700000,Resale,Ready To Move,Broker,No, Devanahalli,983
1580,3,12500000,Resale,Ready To Move,Broker,No, Sarjapur Road,1625
1581,3,12700000,New Property,Ready To Move,Broker,No, HSR Layout,1700
1582,2,7356000,New Property,Ready To Move,Broker,No, Sarjapur Road,1100
1583,3,6676000,New Property,Ready To Move,Broker,No, Chandapura,1560
1584,2,8265000,New Property,Ready To Move,Broker,No, Whitefield,1153
1585,2,6730000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1045
1586,2,11000000,New Property,Ready To Move,Broker,No, Sahakara Nagar,1225
1587,2,17100000,New Property,Ready To Move,Broker,No, B,1665
1588,1,5934000,New Property,Ready To Move,Broker,No, Thanisandra,715
1589,3,12200000,New Property,Ready To Move,Broker,No, Gummanahalli,1600
1590,2,6160000,New Property,Ready To Move,Broker,No, Anekal,1120
1591,2,9900000,New Property,Ready To Move,Broker,No, Varthur,1140
1592,2,6500000,New Property,Ready To Move,Broker,No, Kammanahalli,1250
1593,2,6336000,New Property,Ready To Move,Broker,No, Sarjapur Road,875
1594,2,7546000,New Property,Ready To Move,Broker,No, Arehalli,1245
1595,3,9135000,New Property,Ready To Move,Broker,No, Kanakapura Road,1305
1596,2,10100000,Resale,Ready To Move,Broker,No, Sarjapur Road,1005
1597,2,14800000,Resale,Ready To Move,Broker,No, Whitefield,1047
1598,2,16200000,New Property,Ready To Move,Broker,No, Kanakapura Road,1444
1599,4+,47900000,New Property,Ready To Move,Broker,No, Bellandur,3200
1600,4,37000000,Resale,Ready To Move,Broker,No, Rachenahalli,4895
1601,2,4800000,New Property,Ready To Move,Broker,No, Hoskote,1296
1602,3,28700000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1591
1603,1,4099000,New Property,Ready To Move,Broker,No, Whitefield,428
1604,1,8500000,New Property,Ready To Move,Broker,No, Sarjapur Road,666
1605,2,7462000,New Property,Ready To Move,Broker,No, Uttarahalli,1295
1606,2,10500000,New Property,Ready To Move,Broker,No, Whitefield,1207
1607,2,9196000,New Property,Ready To Move,Broker,No, Yelahanka,1276
1608,3,8649000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1725
1609,2,8556000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1235
1610,2,13400000,New Property,Ready To Move,Broker,No, Sarjapur Road,1594
1611,2,10900000,New Property,Ready To Move,Broker,No, Yelahanka,1335
1612,2,6227000,New Property,Ready To Move,Broker,No, JP Nagar 7th Phase,1240
1613,2,12200000,New Property,Ready To Move,Broker,No, Bellary Road,1273
1614,3,9095000,New Property,Ready To Move,Broker,No, Yelahanka,1580
1615,2,5554000,New Property,Ready To Move,Broker,No, Akshayanagar,1180
1616,2,9647000,New Property,Ready To Move,Broker,No, Nagavara,1171
1617,3,26500000,Resale,Ready To Move,Broker,No, Banashankari,2390
1618,3,24000000,New Property,Ready To Move,Broker,No, Yelachenahalli,2332
1619,3,12200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1315
1620,3,18000000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1585
1621,3,17900000,Resale,Ready To Move,Broker,No, Sarjapur Road,1657
1622,4,13500000,New Property,Ready To Move,Broker,No, Old Airport Road,6402
1623,3,22400000,New Property,Ready To Move,Broker,No, Banashankari,2360
1624,4,27500000,New Property,Ready To Move,Broker,No, Banashankari,2905
1625,4,35300000,New Property,Ready To Move,Broker,No, Banashankari,3720
1626,2,9196000,New Property,Ready To Move,Broker,No, Yelahanka,1276
1627,2,8556000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1235
1628,3,8649000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1725
1629,2,6227000,New Property,Ready To Move,Broker,No, JP Nagar 7th Phase,1240
1630,2,10900000,New Property,Ready To Move,Broker,No, Yelahanka,1335
1631,4+,142000000,New Property,Ready To Move,Broker,No, Malleshwaram,7145
1632,4,53800000,New Property,Ready To Move,Broker,No, Malleshwaram,4490
1633,2,7128000,New Property,Ready To Move,Broker,No, Doddaballapur Road,1273
1634,3,7200000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1400
1635,3,8300000,New Property,Ready To Move,Broker,No, Mysore Road,1407
1636,4,30700000,New Property,Ready To Move,Broker,No, Off Sarjapur road,4260
1637,3,9095000,New Property,Ready To Move,Broker,No, Yelahanka,1580
1638,2,13900000,New Property,Ready To Move,Broker,No, Sarjapur Road,1185
1639,3,12000000,New Property,Ready To Move,Broker,No, Whitefield,1500
1640,4,69500000,New Property,Ready To Move,Broker,No, Bellandur,6352
1641,2,5000000,New Property,Ready To Move,Broker,No, Kengeri,902
1642,4+,36200000,Resale,Ready To Move,Broker,No, Whitefield,3400
1643,3,23000000,Resale,Ready To Move,Broker,No, Sarjapur,1865
1644,3,16500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1665
1645,1,4728000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
1646,3,28500000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1570
1647,3,32600000,New Property,Ready To Move,Broker,No, Whitefield,1654
1648,3,16000000,New Property,Ready To Move,Broker,No, Rachenahalli,1610
1649,3,12500000,New Property,Ready To Move,Broker,No, Jigani,2700
1650,2,16100000,New Property,Ready To Move,Broker,No, Whitefield,1197
1651,3,11800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1280
1652,2,12900000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1295
1653,2,6970000,New Property,Ready To Move,Broker,No, Sarjapur Road,1070
1654,1,9500000,New Property,Ready To Move,Broker,No, Banashankari,650
1655,2,3680000,New Property,Ready To Move,Broker,No, Devanahalli,866
1656,2,7540000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1300
1657,3,3965000,New Property,Ready To Move,Broker,No, Chandapura,862
1658,1,5807000,New Property,Ready To Move,Broker,No, Haralur Road,820
1659,4+,30000000,New Property,Ready To Move,Broker,No, Marathahalli,6000
1660,2,7020000,New Property,Ready To Move,Broker,No, Bellandur,1306
1661,4+,53500000,New Property,Ready To Move,Broker,No, Whitefield,3600
1662,2,6748000,New Property,Ready To Move,Broker,No, Bilekahalli,1350
1663,2,15000000,New Property,Ready To Move,Broker,No, Whitefield,1293
1664,2,6062000,Resale,Ready To Move,Broker,No, Old Madras Road,1225
1665,4,5211000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1489
1666,1,6090000,New Property,Ready To Move,Broker,No, Kanakapura Road,870
1667,2,4011000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1146
1668,3,6663000,New Property,Ready To Move,Broker,No, Kengeri,1481
1669,2,4963000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,965
1670,2,3859000,New Property,Ready To Move,Broker,No, Devanahalli,908
1671,2,5943000,New Property,Ready To Move,Broker,No, Kengeri,1213
1672,2,7700000,New Property,Ready To Move,Broker,No, Kanakapura Road,1100
1673,3,10000000,New Property,Ready To Move,Broker,No, Mysore Road,1710
1674,3,12200000,New Property,Ready To Move,Broker,No, Whitefield,1350
1675,3,18600000,New Property,Ready To Move,Broker,No, Whitefield,1839
1676,2,3536000,New Property,Ready To Move,Broker,No, Devanahalli,832
1677,2,3859000,New Property,Ready To Move,Broker,No, Devanahalli,908
1678,2,4500000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,855
1679,2,4385000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1253
1680,3,40100000,New Property,Ready To Move,Broker,No, Jakkur,2495
1681,1,3699000,New Property,Ready To Move,Broker,No, S,615
1682,3,12500000,Resale,Ready To Move,Broker,No, Sarjapur Road,1625
1683,3,11100000,New Property,Ready To Move,Broker,No, Varthur,1626
1684,2,7841000,New Property,Ready To Move,Broker,No, Hosur Road,1025
1685,2,7714000,Resale,Ready To Move,Broker,No, Mysore Road,980
1686,3,17200000,New Property,Ready To Move,Broker,No, Kaggadasapura,1610
1687,3,9426000,New Property,Ready To Move,Broker,No, KR Puram,1519
1688,2,10500000,New Property,Ready To Move,Broker,No, Varthur,1018
1689,2,6715000,New Property,Ready To Move,Broker,No, Sarjapur,1010
1690,3,7276000,New Property,Ready To Move,Broker,No, Begur,1360
1691,3,10700000,New Property,Ready To Move,Broker,No, Horamavu,1400
1692,3,9561000,New Property,Ready To Move,Broker,No, Uttarahalli,1450
1693,3,12700000,New Property,Ready To Move,Broker,No, HSR Layout,1700
1694,2,6206000,New Property,Ready To Move,Broker,No, Electronic City,1078
1695,2,8265000,New Property,Ready To Move,Broker,No, Whitefield,1153
1696,2,6730000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1045
1697,2,11000000,New Property,Ready To Move,Broker,No, Sahakara Nagar,1225
1698,2,17100000,New Property,Ready To Move,Broker,No, B,1665
1699,1,5934000,New Property,Ready To Move,Broker,No, Thanisandra,715
1700,2,11000000,New Property,Ready To Move,Broker,No, Kaggadasapura,1109
1701,2,4500000,Resale,Ready To Move,Broker,No, Whitefield,1200
1702,2,8474000,New Property,Ready To Move,Broker,No, Hosur Road,1065
1703,3,10900000,New Property,Ready To Move,Broker,No, Hosur Road,1480
1704,1,1296000,New Property,Ready To Move,Broker,No, Kengeri,480
1705,2,5900000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1155
1706,3,32500000,New Property,Ready To Move,Broker,No, Whitefield,1762
1707,3,18900000,New Property,Ready To Move,Broker,No, Whitefield,1486
1708,3,8618000,New Property,Ready To Move,Broker,No, Sarjapur,1377
1709,1,4641000,New Property,Ready To Move,Broker,No, Varthur,615
1710,2,6336000,New Property,Ready To Move,Broker,No, Sarjapur Road,875
1711,2,8292000,New Property,Ready To Move,Broker,No, Sarjapur Road,1240
1712,3,9704000,New Property,Ready To Move,Broker,No, Sarjapur Road,1255
1713,2,5800000,New Property,Ready To Move,Broker,No, Kogilu,1005
1714,2,4768000,New Property,Ready To Move,Broker,No, Hosa Road,1192
1715,3,4915000,New Property,Ready To Move,Broker,No, Sompura,1536
1716,3,16900000,New Property,Ready To Move,Broker,No, Mysore Road,1749
1717,2,8389000,New Property,Ready To Move,Broker,No, Kanakapura Road,959
1718,3,8232000,New Property,Ready To Move,Broker,No, Devanahalli,1273
1719,2,9000000,New Property,Ready To Move,Broker,No, Whitefield,1006
1720,2,12800000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1280
1721,2,3650000,New Property,Ready To Move,Broker,No, Devanahalli,859
1722,2,6200000,New Property,Ready To Move,Broker,No, Kanakapura Road,890
1723,3,22900000,New Property,Ready To Move,Broker,No, Whitefield,2044
1724,3,25300000,Resale,Ready To Move,Broker,No, Hebbal,2263
1725,2,9500000,New Property,Ready To Move,Broker,No, Kanakapura Road,900
1726,2,13800000,New Property,Ready To Move,Broker,No, Jalahalli West,1634
1727,3,26600000,New Property,Ready To Move,Broker,No, Whitefield,1970
1728,2,5600000,New Property,Ready To Move,Broker,No, Thanisandra,979
1729,2,6000000,New Property,Ready To Move,Broker,No, Electronic City Phase I,945
1730,3,12200000,New Property,Ready To Move,Broker,No, Kanakapura Road,1280
1731,2,11100000,New Property,Ready To Move,Broker,No, Whitefield,1305
1732,4,12800000,New Property,Ready To Move,Broker,No, Uttarahalli,1955
1733,2,11900000,New Property,Ready To Move,Broker,No, Devanahalli,1320
1734,3,14600000,New Property,Ready To Move,Broker,No, Yelahanka,1675
1735,2,4595000,New Property,Ready To Move,Broker,No, Mysore Road,802
1736,3,8046000,New Property,Ready To Move,Broker,No, Devanahalli,1275
1737,2,4700000,New Property,Ready To Move,Broker,No, Sarjapur Road,1080
1738,2,9900000,New Property,Ready To Move,Broker,No, Kanakapura Road,1030
1739,2,8470000,New Property,Ready To Move,Broker,No, Hoodi,1210
1740,3,11000000,New Property,Ready To Move,Broker,No, Bagaluru,1382
1741,3,11800000,New Property,Ready To Move,Broker,No, Thanisandra,1345
1742,3,11200000,New Property,Ready To Move,Broker,No, Akshayanagar,1435
1743,3,9014000,Resale,Ready To Move,Broker,No, Marathahalli,1541
1744,3,15100000,New Property,Ready To Move,Broker,No, Sahakara Nagar,1590
1745,3,18000000,Resale,Ready To Move,Broker,No, Sarjapur Road,1665
1746,3,30000000,Resale,Ready To Move,Broker,No, Marathahalli,1650
1747,4,48500000,New Property,Ready To Move,Broker,No, Off Hennur Road,2492
1748,2,5638000,Resale,Ready To Move,Broker,No, Bannerghatta Road,1285
1749,3,10700000,New Property,Ready To Move,Broker,No, Old Madras Road,1590
1750,2,5815000,New Property,Ready To Move,Broker,No, Budigere,1065
1751,2,10000000,New Property,Ready To Move,Broker,No, Anekal,1539
1752,2,6800000,New Property,Ready To Move,Broker,No, Whitefield,1275
1753,2,6206000,New Property,Ready To Move,Broker,No, Whitefield,1160
1754,2,5807000,New Property,Ready To Move,Broker,No, Hennur Road,1003
1755,3,9400000,New Property,Ready To Move,Broker,No, Ramamurthy Nagar,1400
1756,2,7917000,New Property,Ready To Move,Broker,No, Uttarahalli,1131
1757,3,7400000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1140
1758,3,20500000,New Property,Ready To Move,Broker,No, Devanahalli,1927
1759,3,10900000,New Property,Ready To Move,Broker,No, Jakkur,1620
1760,2,7500000,New Property,Ready To Move,Broker,No, Whitefield,1099
1761,2,13500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1128
1762,3,8550000,New Property,Ready To Move,Broker,No, Sarjapur,1350
1763,2,6563000,New Property,Ready To Move,Broker,No, Whitefield,1191
1764,2,7727000,Resale,Ready To Move,Broker,No, Whitefield,1405
1765,4,52500000,New Property,Ready To Move,Broker,No, Koramangala,5602
1766,3,13600000,New Property,Ready To Move,Broker,No, Sarjapur Road,1475
1767,3,60000000,New Property,Ready To Move,Broker,No, Marathahalli,3300
1768,2,7500000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1110
1769,3,14900000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1571
1770,2,8181000,New Property,Ready To Move,Broker,No, Yelahanka,1171
1771,2,9083000,New Property,Ready To Move,Broker,No, Electronic City,1233
1772,2,9928000,New Property,Ready To Move,Broker,No, Mysore Road,1241
1773,3,13700000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1635
1774,2,11600000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1325
1775,3,4958000,New Property,Ready To Move,Broker,No, Jigani,1610
1776,2,3500000,New Property,Ready To Move,Broker,No, Devanahalli,875
1777,3,14800000,New Property,Ready To Move,Broker,No, Yelahanka New Town,1556
1778,3,6730000,New Property,Ready To Move,Broker,No, Electronic City Phase II,1010
1779,2,5658000,New Property,Ready To Move,Broker,No, Devanahalli,1035
1780,2,2842000,New Property,Ready To Move,Broker,No, Chandapura,618
1781,2,7634000,New Property,Ready To Move,Broker,No, Kyalasanahalli,1388
1782,3,11700000,New Property,Ready To Move,Broker,No, Kanakapura Road,1314
1783,3,21800000,New Property,Ready To Move,Broker,No, Banashankari,1370
1784,3,6020000,New Property,Ready To Move,Broker,No, Marsur,1400
1785,3,9799000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1615
1786,2,11000000,Resale,Ready To Move,Broker,No, Kanakapura Road,1189
1787,3,14700000,New Property,Ready To Move,Broker,No, Whitefield,1599
1788,3,37500000,New Property,Ready To Move,Broker,No, Old Madras Road,3140
1789,4,72500000,New Property,Ready To Move,Broker,No, Hebbal,5502
1790,4,75000000,Resale,Ready To Move,Broker,No, Whitefield,3835
1791,3,12000000,New Property,Ready To Move,Broker,No, Whitefield,1334
1792,3,14400000,New Property,Ready To Move,Broker,No, Mysore Road,1800
1793,2,6500000,New Property,Ready To Move,Broker,No, Doddaballapur,1000
1794,3,8100000,New Property,Ready To Move,Broker,No, Sarjapur Road,1201
1795,2,5525000,New Property,Ready To Move,Broker,No, Hosur Road,880
1796,3,6784000,New Property,Ready To Move,Broker,No, Kengeri,1508
1797,3,10500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1451
1798,2,10100000,New Property,Ready To Move,Broker,No, Whitefield,1385
1799,1,4728000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
1800,3,32600000,New Property,Ready To Move,Broker,No, Whitefield,1654
1801,3,28500000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1570
1802,3,7551000,New Property,Ready To Move,Broker,No, Electronic City,1520
1803,3,16000000,New Property,Ready To Move,Broker,No, Rachenahalli,1610
1804,3,13100000,New Property,Ready To Move,Broker,No, Banashankari 3rd Stage,1846
1805,2,16100000,New Property,Ready To Move,Broker,No, Whitefield,1197
1806,3,10600000,Resale,Ready To Move,Broker,No, Marathahalli,1965
1807,3,16000000,Resale,Ready To Move,Broker,No, Whitefield,1945
1808,1,4700000,Resale,Ready To Move,Broker,No, Bannerghatta Road,480
1809,3,9088000,New Property,Ready To Move,Broker,No, Sarjapur Road,1255
1810,3,29000000,Resale,Ready To Move,Broker,No, Thanisandra,2000
1811,2,8200000,New Property,Ready To Move,Broker,No, Bannerghatta Road,900
1812,2,3399000,New Property,Ready To Move,Broker,No, Doddaballapur Road,907
1813,3,6523000,New Property,Ready To Move,Broker,No, JP Nagar Phase 8,1305
1814,2,2390000,New Property,Ready To Move,Broker,No, Sarjapur Road,683
1815,3,10000000,New Property,Ready To Move,Broker,No, R.K. Hegde Nagar,1404
1816,1,5408000,New Property,Ready To Move,Broker,No, Whitefield,670
1817,3,7800000,New Property,Ready To Move,Broker,No, Whitefield,1460
1818,4,17100000,New Property,Ready To Move,Broker,No, Old Madras Road,2545
1819,3,7964000,New Property,Ready To Move,Broker,No, Budigere,1510
1820,3,10700000,New Property,Ready To Move,Broker,No, Whitefield,1715
1821,2,5071000,New Property,Ready To Move,Broker,No, Electronic City Phase II,980
1822,2,9093000,New Property,Ready To Move,Broker,No, Whitefield,1425
1823,2,7771000,New Property,Ready To Move,Broker,No, Whitefield,1195
1824,3,14700000,New Property,Ready To Move,Broker,No, Whitefield,1599
1825,3,5184000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1080
1826,2,14000000,New Property,Ready To Move,Broker,No, Sarjapur,971
1827,2,14000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1250
1828,2,13900000,New Property,Ready To Move,Broker,No, Sarjapur Road,1185
1829,4+,36000000,Resale,Ready To Move,Broker,No, Sarjapur Attibele Road,3997
1830,4,55000000,New Property,Ready To Move,Broker,No, Off Hennur Road,2630
1831,3,17700000,New Property,Ready To Move,Broker,No, Rachenahalli,1975
1832,3,10800000,New Property,Ready To Move,Broker,No, Gottigere,1403
1833,2,4800000,New Property,Ready To Move,Broker,No, Attibele,752
1834,2,7800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1100
1835,2,9050000,New Property,Ready To Move,Broker,No, Attibele,1000
1836,2,6900000,New Property,Ready To Move,Broker,No, Sarjapur,1079
1837,2,8600000,New Property,Ready To Move,Broker,No, Kanakapura Road,910
1838,2,8470000,New Property,Ready To Move,Broker,No, Hoodi,1210
1839,2,9900000,New Property,Ready To Move,Broker,No, Kanakapura Road,1030
1840,3,11000000,New Property,Ready To Move,Broker,No, Bagaluru,1382
1841,3,11600000,New Property,Ready To Move,Broker,No, Gummanahalli,1520
1842,2,11000000,New Property,Ready To Move,Broker,No, Kaggadasapura,1109
1843,3,11200000,New Property,Ready To Move,Broker,No, Akshayanagar,1435
1844,3,11800000,New Property,Ready To Move,Broker,No, Thanisandra,1345
1845,3,15700000,New Property,Ready To Move,Broker,No, Sarjapur Road,1661
1846,2,7392000,New Property,Ready To Move,Broker,No, Choodasandra,1232
1847,2,3800000,New Property,Ready To Move,Broker,No, Tumkur Road,708
1848,4,62500000,New Property,Ready To Move,Broker,No, Hulimavu,6201
